Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.60.1-192.168.60.3-51156-80-6,192.168.60.1,51156,192.168.60.3,80,6,6/7/2019 21:30,8020337,4,4,452,1124,452,0,113,226,1124,0,281,562,196.5004712,0.997464321,1145762.429,2981335.356,7906607,65,7963590,2654530,4548519.625,7906607,275,72805,24268.33333,29052.22921,56682,575,0,0,0,0,80,104,0.498732161,0.498732161,0,1124,175.1111111,385.9573955,148963.1111,0,1,0,0,0,0,0,0,1,197,113,281,0,0,0,0,0,0,4,452,4,1124,-1,108,1,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51160-80-6,192.168.60.1,51160,192.168.60.3,80,6,6/7/2019 21:30,8999076,3,3,0,0,0,0,0,0,0,0,0,0,0,0.666735118,1799815.2,2514537.743,5205908,33,8998934,4499467,999058.4432,5205908,3793026,3793135,1896567.5,2682007.231,3793033,102,0,0,0,0,72,96,0.333367559,0.333367559,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,5840,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51159-80-6,192.168.60.1,51159,192.168.60.3,80,6,6/7/2019 21:30,8999512,4,4,452,1124,452,0,113,226,1124,0,281,562,175.1206065,0.888937089,1285644.571,3375914.448,8941429,61,8999188,2999729.333,5145730.419,8941429,2510,18475,6158.333333,8077.983432,15366,263,0,0,0,0,80,104,0.444468545,0.444468545,0,1124,175.1111111,385.9573955,148963.1111,0,1,0,0,0,0,0,0,1,197,113,281,0,0,0,0,0,0,4,452,4,1124,-1,108,1,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51165-80-6,192.168.60.1,51165,192.168.60.3,80,6,6/7/2019 21:30,4554887,3,3,0,0,0,0,0,0,0,0,0,0,0,1.317266488,910977.4,1647388.456,3799252,31,4554689,2277344.5,2152346.068,3799283,755406,3799450,1899725,2686404.728,3799300,150,0,0,0,0,72,96,0.658633244,0.658633244,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,5840,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51164-80-6,192.168.60.1,51164,192.168.60.3,80,6,6/7/2019 21:30,4555223,7,9,942,5712,479,0,134.5714286,229.8708747,1460,0,634.6666667,706.9153061,1460.74078,3.512451531,303681.5333,930564.5391,3586891,25,4554925,759154.1667,1417976.189,3586891,233,3759480,469935,1276043.893,3627478,38,0,0,0,0,140,204,1.536697545,1.975753986,0,1460,391.4117647,584.2947735,341400.3824,0,1,0,0,0,0,0,0,1,415.875,134.5714286,634.6666667,0,0,0,0,0,0,7,942,9,5712,-1,125,2,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51167-80-6,192.168.60.1,51167,192.168.60.3,80,6,6/7/2019 21:30,8967096,3,3,0,0,0,0,0,0,0,0,0,0,0,0.669112944,1793419.2,2620078.729,5775611,46,8966790,4483395,1827469.393,5775611,3191179,3191439,1595719.5,2256334.605,3191189,250,0,0,0,0,72,96,0.334556472,0.334556472,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,5840,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51168-80-6,192.168.60.1,51168,192.168.60.3,80,6,6/7/2019 21:30,8966887,3,3,0,0,0,0,0,0,0,0,0,0,0,0.669128539,1793377.4,2456345.602,4574740,30,8966501,4483250.5,129385.6917,4574740,4391761,4392117,2196058.5,3105226.196,4391785,332,0,0,0,0,72,96,0.33456427,0.33456427,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,5840,0,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51175-80-6,192.168.60.1,51175,192.168.60.3,80,6,6/7/2019 21:31,8508839,5,5,394,521,394,0,78.8,176.2021566,521,0,104.2,232.9982833,107.5352348,1.175248468,945426.5556,1745908.664,4031183,43,8508077,2127019.25,2185847.629,4031183,41777,4436644,1109161,1937144.539,3998453,537,0,0,0,0,112,136,0.587624234,0.587624234,0,521,83.18181818,187.233981,35056.56364,0,1,0,0,0,0,0,0,1,91.5,78.8,104.2,0,0,0,0,0,0,5,394,5,521,-1,108,1,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51174-80-6,192.168.60.1,51174,192.168.60.3,80,6,6/7/2019 21:31,8509500,176,344,1366,474039,492,0,7.761363636,59.38243979,1460,0,1378.020349,256.5537405,55867.55979,61.10817322,16395.95376,226398.9275,4031297,11,8508258,48618.61714,388608.4072,4031297,36,4437549,12937.46064,175171.3185,2949844,12,0,0,0,0,3520,6904,20.68276632,40.4254069,0,1460,912.4856046,683.0912037,466613.5926,0,1,0,0,0,0,0,0,1,914.2403846,7.761363636,1378.020349,0,0,0,0,0,0,176,1366,344,474039,-1,142,3,0,0,0,0,0,0,0,0,0,BENIGN
192.168.60.1-192.168.60.3-51180-80-6,192.168.60.1,51180,192.168.60.3,80,6,6/7/2019 21:31,4072692,24,42,904,53261,486,0,37.66666667,128.0063404,1460,0,1268.119048,481.8073799,13299.55715,16.20549749,62656.8,478607.7969,3860747,13,4072512,177065.7391,803285.2852,3860747,43,3964269,96689.4878,615625.6405,3942430,13,0,0,0,0,480,864,5.89290818,10.31258931,0,1460,808.4328358,714.3668149,510319.9462,0,1,0,0,0,0,0,0,1,820.6818182,37.66666667,1268.119048,0,0,0,0,0,0,24,904,42,53261,-1,125,2,0,0,0,0,0,0,0,0,0,BENIGN
